,Sent,Len,wiki_entities,Manual Annotation
47,Some diesel/electric railroad locomotives use the electric motors to generate electricity which is then sent to a resistor bank and dumped as heat,23,"['Rechargeable alkaline battery', 'Diesel engine', 'Railway electrification system', 'Rail transport', 'Locomotive', 'Electric motor', 'Electricity generation', 'Electric generator', 'Electricity', 'Christian mission', 'Resistor', 'Bank engine', 'Dumping (pricing policy)', 'Heat']","Diesel, Electric, Railroad, Locomotive, electric motor, electricity, resistor bank, Heat"
48,"Some vehicles, such as some transit buses, do not already have an electric motor but use a secondary retarder brake that is effectively a generator with an internal short circuit",30,"['Rechargeable alkaline battery', 'Vehicle', 'Transit bus', 'Do while loop', 'Electric motor', 'Health care', 'Retarder (mechanical engineering)', 'Brake', 'Effectiveness', 'Electric generator', 'Short circuit']","Vehicle, Transit Bus, Electric motor, secondary retarder brake, generator, short circuit"
49,"Related types of such a brake are eddy current brakes, and electro mechanical brakes which actually are magnetically driven friction brakes, but nowadays are often just called electromagnetic brakes as well",31,"['The Related Companies', 'Brake', 'Eddy current', 'Eddy current brake', 'Alternating current', 'Electro (music)', 'Machine', 'Glossary of professional wrestling terms', 'Magnetism', 'Harmonic oscillator', 'Justice', 'Eponym', 'Electromagnetic brake']","Brake, Eddy current brake, electro mechanicla brake, magnetically driven friction brake, electromagnetic brake"
50,"Electromagnetic brakes slow an object through electromagnetic induction, which creates resistance and in turn either heat or electricity",18,"['Electromagnetism', 'Electromagnetic brake', 'Brake', 'Bradycardia', 'Physical object', 'Electromagnetic induction', 'Genesis creation narrative', 'Shapeshifting', 'Heat', 'Electricity']","Electromagnetic Brake, electromagnetic induction, resistance, Heat, Electricity"
51,Friction brakes apply pressure on two separate objects to slow the vehicle in a controlled manner,16,"['Friction', 'Brake', 'Apply', 'Pressure', 'Grade separation', 'Spin bowling', 'Vehicle', 'Manner of articulation']","Frication Brake, Pressure, Vehicle"
52,Brakes are often described according to several characteristics including:,9,"['Brake', 'Binomial nomenclature', 'Phenotypic trait']","Brake, characteristics"
53,"Foundation components are the brake assembly components at the wheels of a vehicle, named for forming the basis of the rest of the brake system",25,"['Brake', 'Manufacturing', 'Wheel', 'Vehicle', 'Forming (metalworking)', 'Basis (linear algebra)', 'Inertia', 'Hydraulic brake', 'System']","Foundational components, Brake assembly components at the wheels of vehicle, brake system"
54,These mechanical parts contained around the wheels are controlled by the air brake system,14,"['These', 'Machine', 'Spare part', 'Containment', 'Wheel', 'Railway air brake', 'Brake', 'Hydraulic brake', 'Computer']","Mechanical parts, Wheel, Air Brake system"
55,"The three types of foundation brake systems are “S” cam brakes, disc brakes and wedge brakes",16,"['Lever', 'Foundation (engineering)', 'Brake', 'Disc brake', 'Computer', 'Solidarity (Polish trade union)', 'Cam', 'Wedge']","Foundation Brake System, Cam Brake, Disc Brake, Wedge brake"
56,"Most modern passenger vehicles, and light vans, use a vacuum assisted brake system that greatly increases the force applied to the vehicle brakes by the force operator",27,"['Most (city)', 'Car', 'Vehicle', 'Light', 'Van', 'Vacuum', 'Assist (association football)', 'Brake', 'Hydraulic brake', 'System', 'Increase (knitting)', 'Force', 'Chemistry']","Modern Passenger Vehicle, Light van, vacuum assisted brake system, Vehicle Brake, Force Operator"
57,This additional force is supplied by the manifold vacuum generated by air flow being obstructed by the throttle on a running engine,22,"['Supernumerary body part', 'Force', 'Manifold', 'Manifold vacuum', 'Generating set of a group', 'Electricity generation', 'Aircraft', 'Airflow', 'Obstruction of justice', 'Throttle', 'Running', 'Internal combustion engine']","Force, manifold, vacuum, air flow, throttle, engine"
58,"This force is greatly reduced when the engine is running at fully open throttle, as the difference between ambient air pressure and manifold absolute air pressure is reduced, and therefore available vacuum is diminished",34,"['Force', 'Redox', 'Internal combustion engine', 'Throttle', 'Subtraction', 'Ambient music', 'Atmosphere of Earth', 'Aircraft', 'Atmospheric pressure', 'Manifold', 'Availability', 'Vacuum', 'Tritone']","Force, Engine, Full throttle, Ambient Air Pressure, Manifold, Absolute air pressure, Vacuum"
59,"However, brakes are rarely applied at full throttle; the driver takes the right foot off the gas pedal and moves the gas pedal to the brake pedal  unless left foot braking is used",33,"['Brake', 'Chemistry', 'Throttle', 'Take', 'Right-wing politics', 'Port and starboard', 'Perpendicular', 'Off-Broadway', 'Gasoline', 'Car controls', 'Motion', 'Representative Concentration Pathway', 'Brexit']","Brake, Full Throttle, Gas Pedal, Brake Pedal"
60,"Because of low vacuum at high RPM, reports of unintended acceleration are often accompanied by complaints of failed or weakened brakes, as the high revving engine, having an open throttle, is unable to provide enough vacuum to power the brake booster",41,"['Because Music', 'Low Earth orbit', 'Vacuum', 'RPM (magazine)', 'Hadith', 'Unintended pregnancy', 'Sudden unintended acceleration', 'Acceleration', 'Accompaniment', 'Complaint', 'Bankruptcy', 'Radio propagation', 'Brake', 'Internal combustion engine', 'Throttle', 'Total depravity', 'Vacuum servo']","Vacuum, RPM, accelearation, Brake, Engine, Throttle, Vacuum, Brake Booster"
61,"This problem is exacerbated in vehicles equipped with automatic transmissions as the vehicle will automatically downshift upon application of the brakes, thereby increasing the torque delivered to the driven wheels in contact with the road surface",36,"['Problem solving', 'Positive feedback', 'Vehicle', 'Military technology', 'Automatic transmission', 'Automation', 'Transmission (mechanics)', 'Free will', 'Software', 'Brake', 'Population growth', 'Torque', 'Childbirth', 'Pile driver', 'Wheel', 'Roman road from Silchester to Bath', 'Road', 'Road surface']","Vehicle, automatic Transimission, Downshift, Brake, Torque, wheels, surface"
62,"Heavier road vehicles, as well as trains, usually boost brake power with compressed air, supplied by one or more compressors",20,"['Road transport', 'Vehicle', 'Train', 'Convention (norm)', 'Turbocharger', 'Brake', 'Compressor', 'Compressed air', 'Aircraft']","Heavier Road Vehicle, Train, Brake Power, Compressed air, Compressor"
63,"Although ideally a brake would convert all the kinetic energy into heat, in practice a significant amount may be converted into acoustic energy instead, contributing to noise pollution",28,"['Idealization (philosophy of science)', 'Brake', 'Energy transformation', 'Kinetic energy', 'Heat', 'De facto', 'Statistical significance', 'Amount of substance', 'Sound', 'Contributing property', 'Noise pollution', 'Pollution']","Brake, Kinetic Energy, Heat, Acoustic Energy, noise pollution"
64,"For road vehicles, the noise produced varies significantly with tire construction, road surface, and the magnitude of the deceleration",19,"['Fornax', 'Road', 'Vehicle', 'Noise', 'Silicon', 'Variable star', 'Statistical significance', 'Tire', 'Road surface', 'Magnitude (astronomy)', 'Acceleration']","Vehicle, noise, Tire construction, road surface, deceleration"
65,Noise can be caused by different things,7,"['Noise', 'Canning', 'Causality', 'Difference (philosophy)', 'Internet of things']",Noise
66,These are signs that there may be issues with brakes wearing out over time,14,"['These', 'Neon sign', 'Software bug', 'Brake', 'Wear']","Brake, Wear"
67,Railway brake malfunctions can produce sparks and cause forest fires,10,"['Rail transport', 'Railway brake', 'Canning', 'Production (economics)', 'Ember', 'Causality', 'Wildfire']","Ralway, Brake, Spark, Forest, Fire"
68,"In some very extreme cases, disc brakes can become red hot and set on fire",15,"['Maxima and minima', 'Lawsuit', 'Disc brake', 'Canning', 'Incandescence', 'Heat', 'Set (mathematics)', 'Arson', 'Fire']","Disc Brake, Red hot, Fire"
69,"This happened in the Tuscan GP, when the Mercedes car, the Whad its front carbon disc brakes almost busting into flames, due to low ventilation and high usage",28,"['Tuscan order', 'Grand Prix motor racing', 'Car', 'Carbon', 'Disc brake', 'Negligible senescence', 'Fire', 'Impact of the COVID-19 pandemic on the environment', 'Low voltage', 'Ventilation (architecture)', 'Usage (language)']","Tuscan GP, Mercedes car, Front Carbon Disc Brake, Flame, Ventilation, usage"
70,"These fires can also occur on some Mercedes Sprinter vans, when the load adjusting sensor seizes up and the rear brakes have to compensate for the fronts",27,"['These', 'Fire', 'Canning', 'Cyclogenesis', 'Mercedes-Benz Sprinter', 'Van', 'Cargo', 'Spinal adjustment', 'Sensor', 'Rear-wheel drive', 'Disc brake', 'Nationalization', 'Weather front']","Fire, Mercedes Sprinter van, load adjusting sensor, rear brake"
71,"A significant amount of energy is always lost while braking, even with regenerative braking which is not perfectly efficient",19,"['Statistical significance', 'Quantity', 'Energy', 'Shipwreck', 'Brake', 'Even and odd functions', 'Regenerative brake']","Energy, Brake, Regenerative Brake"
72,"Therefore, a good metric of efficient energy use while driving is to note how much one is braking",18,"['Value theory', 'International System of Units', 'Efficient energy use', 'Energy', 'Driving', 'Security (finance)', 'Brake']","Energy, Brake"
73,"If the majority of deceleration is from unavoidable friction instead of braking, one is squeezing out most of the service from the vehicle",23,"['If (magazine)', 'Adult', 'Acceleration', 'Friction', 'Brake', 'Compression (physics)', 'Vehicle']","Deceleration, Friction, Brake, Vehicle"
74,Minimizing brake use is one of the fuel economy maximizing behaviors,11,"['Brake', 'Fuel', 'Fuel economy in automobiles', 'Economy', 'Mathematical optimization', 'Behavior']","Brake, Fuel Economy"
75,"While energy is always lost during a brake event, a secondary factor that influences efficiency is off brake drag, or drag that occurs when the brake is not intentionally actuated",30,"['While', 'Energy', 'Always (Mai Kuraki song)', 'Lost film', 'Brake', 'Secondary school', 'Coefficient', 'Social influence', 'Off-Broadway', 'Drag (physics)', 'Intention', 'Actuator']","Energy, Brake, Drag, Actuate"
76,"After a braking event, hydraulic pressure drops in the system, allowing the brake caliper pistons to retract",17,"['Brake', 'Hydraulics', 'Pressure', 'Pressure drop', 'Drop (liquid)', 'Computer', 'Disc brake', 'Piston', 'Retraction (topology)']","Brake, Hydraulic pressure, system, Caliper, piston"
77,"However, this retraction must accommodate all compliance in the system under pressure as well as thermal distortion of components like the brake disc or the brake system will drag until the contact with the disc, for example, knocks the pads and pistons back from the rubbing surface",47,"['However (song)', 'Retraction (topology)', 'Must', 'Accommodation (eye)', 'Stiffness', 'The Establishment', 'Computer', 'Pressure', 'Distortion', 'Unix-like', 'Disc brake', 'Hydraulic brake', 'Free will', 'Drag (physics)', 'Propiska in the Soviet Union', '.example', 'Brake pad', 'Piston', 'Anatomical terms of location', 'Rubbing']","Retraction, compliance, System, Pressure, Thermal Distortion, Brake Disc, Brake System, drag, disc, pad, piston, rubbing surface"
78,"During this time, there can be significant brake drag",9,"['Canning', 'Fujita scale', 'Brake', 'Drag (physics)']","Brake, Drag"
79,"This brake drag can lead to significant parasitic power loss, thus impacting fuel economy and overall vehicle performance",18,"['Disc brake', 'Drag (physics)', 'Canning', 'Lead', 'Statistical significance', 'Parasitism', 'Parasitic load', 'Power outage', 'Habitat destruction', 'Impact event', 'Fuel', 'Fuel economy in automobiles', 'Economy', 'Length overall', 'Vehicle', 'Performing arts']","Brake, Drag, Parasitic power loss, Fuel Economy, Vehicle, Performance"
80,"In the , Wooden block brakes became obsolete when Michelin brothers introduced rubber tires",14,"['Wood', 'Brake run', 'Obsolescence', 'Michelin', 'African Americans', 'Invasive species', 'Natural rubber', 'Tire']","Wooden Block brake, Michelin Brothers, rubber tire,"
81,"During the , some car manufacturers replaced drum brakes with disc brakes",12,"['Car', 'Automotive industry', 'Bogie exchange', 'Drum brake', 'Disc brake']","Car manufacturer, Drum brake, Disc brake"
82,In the ABS was fitted in the Jensen FF grand tourer,11,"['Anti-lock braking system', 'Fitting out', 'Jensen FF', 'Ferrari FF', 'Grand jury', 'Grand tourer', 'Convertible']","ABS, Jensen FF grand tourer"
83,In Bosch and Mercedes updated Bosch and Mercedes anti lock brake system for the Mercedes S Class,17,"['Robert Bosch GmbH', 'Facelift (automotive)', 'Locking differential', 'Brake', 'Hydraulic brake', 'Computer', 'Mercedes-Benz S-Class', 'Car classification']","Bosch, Mercedes, Anti Lock Brake system, Mercedes S class"
84,"That ABS is a fully electronic, four wheel and multi channel system that later became standard",16,"['Anti-lock braking system', 'Electronic music', 'Wheel', 'Computer']","ABS, Electronic, Wheel, Multi-Channel, System"
85,In ESC which automatically applies the brakes to avoid a loss of steering control become compulsory for carriers of dangerous goods without data recorders in the Canadian province of Quebec,30,"['Electronic stability control', 'Automation', 'Function application', 'Brake', 'Tax avoidance', 'Space Shuttle Columbia disaster', 'Steering', 'Compulsory education', 'Risk', 'Dangerous goods', 'Cargo', 'Independent politician', 'Data', 'Data logger', 'Videocassette recorder', 'Provinces and territories of Canada', 'Quebec']","Brake, Steering, Data recorders, Canadian Provinces"
86,Since numerous United Nations Economic Commission for Europe UNECE countries use Brake Assist System BAS a function of the braking system that deduces an emergency braking event from a characteristic of the driver brake demand and under such conditions assist the driver to improve barking,45,"['Since', 'Glossary of botanical terms', 'United Nations', 'United Nations Economic Commission for Europe', 'Nation', 'Economics', 'European Union', 'Sovereign state', 'Brake', 'Emergency brake assist', 'Assist (association football)', 'System', 'Physiology', 'Computer', 'State of emergency', 'Chinese characters', 'Supply and demand', 'Disease', 'Improvement', 'Muntjac']","United Nations Economic Commission for Europe, Brake Assist System, Brake, System, Driver Brake Demand, Brake"
87,In July UNECE vehicle regulation was enacted,7,"['United Nations Economic Commission for Europe', 'Vehicle', 'Vehicle regulation', 'Regulation', 'Coming into force']","UNECE, Vehicle"
88,This regulation defines Advanced Emergency Braking Systems AEBS for heavy vehicles to automatically detect a potential forward collision and activate the vehicle braking system,24,"['Regulation', 'A-Level', 'Brake', 'Computer', 'Truck', 'Vehicle', 'Automation', 'Error detection and correction', 'Potential energy', 'Forward (association football)', 'Agonist', 'Farm team']"," Advanced Emergency Braking System, heavy vehicle, collision, vehicle, brake, system"
89,"On January UNECE vehicle regulation was enacted, defining Advanced Emergency Braking Systems for light vehicles",15,"['United Nations Economic Commission for Europe', 'Vehicle', 'Vehicle regulation', 'Regulation', 'Coming into force', 'Definition', 'A-Level', 'Brake', 'Computer', 'Light']","UNECE, Vehicle, Advanced Emergency Braking System, light vehicle"
90,"From May in the European Union, by law, new vehicles will have advanced emergency braking system",16,"['FromSoftware', 'List of tallest buildings in the European Union', 'The European (newspaper)', 'European Union', 'Statute of Kalisz', 'Law', 'Vehicle', 'Free will', 'Developed country', 'Emergency service', 'Emergency brake (train)', 'Brake', 'Computer']","European Union, Law, new vehicle, Advanced Emergency Braking System"
